一;one;In Chinese characters, the number **one** is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.;* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of _floor_ or _ceiling_ , depending on its position: if it stands above another primitive, it means _ceiling_ , if below, _floor_.;1) [[Piitaa](http://kanji.koohii.com/profile/Piitaa)] 29-6-2006(263): **One** down, 2041 to go. ,).;2) [[findus](http://kanji.koohii.com/profile/findus)] 11-5-2008(98): To learn this **one** kanji, I [recommend](../v4/2000.html) (#2000 薦) this story : _Bambi_ is in a _cave_ , eating a side-dish of _salad_ when trying to learn the kanjis. As he succeed to learn the kanji for "one", you get jealous and decide to shoot him with a _slingshot_. At this moment you hear the police coming, so you hurriedly burn all the proofs into a _fire_ (so you remove the key-words _Bambi_ , _slingshot_ and _fire_ from _recommend_ ). So that when the police arrives, the only remaining clue is a single horizontal bar.;3) [[diracbracket](http://kanji.koohii.com/profile/diracbracket)] 27-2-2008(93): This **one** is too difficult to remember. If the other Kanji are this difficult, I'm giving up.;4) [[breton](http://kanji.koohii.com/profile/breton)] 10-10-2007(44): A sleeping Roman I. ,).;5) [[MeisterLlama](http://kanji.koohii.com/profile/MeisterLlama)] 29-4-2009(36): Tips for your journey:1)check the keywords (for example with saiga-jp kanji dict or jisho.org or <http://dic.yahoo.co.jp> \+ rikaichan). heisig messes up a lot. 2)you'll get mixed up if you use too many penis euphemisms. i try to stick with just "crotch" for penis. 3)try to use the right meaning of the keyword in your stories. for example 抄 "extract" is like an excerpt, not the verb extract.
二;two;Like the Roman numeral II, which reduplicates the numeral I, the kanji for **two** is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the first stroke slightly shorter.;;1) [[kiisu](http://kanji.koohii.com/profile/kiisu)] 15-1-2008(54): **Two** lines.;2) [[mazel](http://kanji.koohii.com/profile/mazel)] 10-9-2006(24): Roman numeral II, written on its side.;3) [[FuDaWei](http://kanji.koohii.com/profile/FuDaWei)] 20-8-2009(22): No wonder the hotel room only cost **TWO** yen, all it had was a _ceiling_ and a _floor_.;4) [[findus](http://kanji.koohii.com/profile/findus)] 11-12-2007(14): With this one, I have doubled the number of kanjis I know. Next please ,).;5) [[sakurasan](http://kanji.koohii.com/profile/sakurasan)] 27-4-2008(7): 1+1 = 2.
三;three;And like the Roman numeral III, which triples the numeral I, the kanji for **three** simply triples the single horizontal stroke. In writing it, think of "1 + 2 = 3" (一 + 二 = 三) in order to keep the middle stroke shorter.;;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 21-7-2007(68): One + two = **three**.;2) [[Harrow](http://kanji.koohii.com/profile/Harrow)] 26-5-2009(49): **THREE** measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.;3) [[Kylecito](http://kanji.koohii.com/profile/Kylecito)] 22-12-2008(15): A **three** some: a Roman girl getting sandwitched by two blokes yelling "me too!" (みつ).;4) [[cactus](http://kanji.koohii.com/profile/cactus)] 11-3-2008(10): A Roman family sleeping together horizontally.Can't you see the kid between his parents?;5) [[mazel](http://kanji.koohii.com/profile/mazel)] 16-4-2008(9): One ( 一 ) on top of two ( 二 ), gives **three** ( 三 ).
四;four;This character is composed of two primitive elements, _mouth_ and _human legs_ , both of which we will meet in the coming lessons. Assuming that you already knew how to write this kanji, we will pass over the "story" connected with it until later. Note how the second stroke is written left-to-right and then top- to-bottom. This is consistent with what we have already seen in the first three numbers and leads us to a general principle that will be helpful when we come to more complicated kanji later on: write north-to-south, west-to-east, northwest-to-southeast.;;1) [[tomb771](http://kanji.koohii.com/profile/tomb771)] 9-2-2007(115): **FOUR** year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.;2) [[elktapestry](http://kanji.koohii.com/profile/elktapestry)] 21-3-2007(42): I imagine a giant devouring a human in **four** bites. First the giant bites off the person's head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the **four** th bite falling in there?;3) [[kanji55](http://kanji.koohii.com/profile/kanji55)] 29-4-2008(36): This is a picture of a slab in the morgue. It is pulled out from the drawer, and it is showing only the dead person's feet. Clearly _shi_ means DEATH.;4) [[xiteru](http://kanji.koohii.com/profile/xiteru)] 9-10-2007(22): A man inside **four** walls.;5) [[DrJones](http://kanji.koohii.com/profile/DrJones)] 16-12-2007(19): **Four** are the _legs_ of the Schrödinger Cat, which is kept in a _box_ , and you don't know if the cat is dead or alive until you open it.
五;five;As with _four_ , we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for **five**.;;1) [[NooNoo](http://kanji.koohii.com/profile/NooNoo)] 11-4-2008(236): 三 + two vertical lines = 5.;2) [[Branduil](http://kanji.koohii.com/profile/Branduil)] 25-2-2006(36): This Kanji looks like a "3" Kanji with two added vertical lines. 3+2= 5.;3) [[gaijingo](http://kanji.koohii.com/profile/gaijingo)] 16-6-2006(33): **Five** \- has a THREE, and a small 'h'… 'high **five** '.;4) [[verne710](http://kanji.koohii.com/profile/verne710)] 10-7-2009(13): The letter 'F' is skiing for the 'five' trophies.;5) [[overture2112](http://kanji.koohii.com/profile/overture2112)] 8-11-2010(7): The _King_ ([king](../v4/255.html) (#255 王)) leaned on the magical _walking stick_ in his left hand which the wizard said would let him "go" (ゴ) through the **fifth** dimension.
六;six;The primitives here are _top hat_ and _animal legs_. Once again, we glide over them until later.;;1) [[Andre_Breton](http://kanji.koohii.com/profile/Andre_Breton)] 5-12-2007(127): Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.;2) [[Jeromin](http://kanji.koohii.com/profile/Jeromin)] 22-12-2008(69): The Devil, always a gentleman, wears a top hat, but his goat legs, betray the Beast. 666 is his number.;3) [[elktapestry](http://kanji.koohii.com/profile/elktapestry)] 21-3-2007(41): **Six** -Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.;4) [[FuDaWei](http://kanji.koohii.com/profile/FuDaWei)] 24-5-2010(15): Someone lying spread-eagle, ready for "sex" ( **SIX** ). —or— Hey, everyone! Come see! I just trapped a **SIX** -inch gremlin under my _top-hat_!;5) [[fesgo](http://kanji.koohii.com/profile/fesgo)] 2-2-2008(12): The **six** members of a person, however the torso was eat by the devil (666).
七;seven;Note that the first stroke "cuts" through the second. This distinguishes **seven** from the character for _spoon_  (Frame 476), in which the horizontal stroke stops short.;* As a primitive, this form takes on the meaning of _diced_ , i.e., "cut" into little pieces, consistent both with the way the character is written and with its association with the kanji for _cut_ to be learned in a later lesson (Frame 89).;1) [[munia](http://kanji.koohii.com/profile/munia)] 15-11-2005(243): This kanji is our good old **seven** , turned upside down.;2) [[Angrybeez](http://kanji.koohii.com/profile/Angrybeez)] 10-6-2008(68): I wrote it upside down so I crossed it out.;3) [[fesgo](http://kanji.koohii.com/profile/fesgo)] 2-2-2008(23): Almost katakana SE = **SEVEN**.;4) [[keller97](http://kanji.koohii.com/profile/keller97)] 15-12-2011(13): I _crossed_ it out because I wrote this **SEVEN** _upside down_.;5) [[michael](http://kanji.koohii.com/profile/michael)] 27-8-2007(13): If you take the line in the middle out, it's an upside down **seven** , Ta-da!
八;eight;Just as the Arabic numeral "8" is composed of a small circle followed by a larger one, so the kanji for **eight** is composed of a short line followed by a longer line, slanting towards it but not touching it. And just as the  "lazy 8" is the mathematical symbol for "infinity," so the expanse opened up below these two strokes is associated by the Japanese with the sense of an infinite expanse or something "all-encompassing.";;1) [[clemk](http://kanji.koohii.com/profile/clemk)] 18-6-2006(120): "Hachi" (eight) begins with the sound of the **katakana "ha"** , and it's approximately the same character.;2) [[Rose_Arteth](http://kanji.koohii.com/profile/Rose_Arteth)] 17-8-2007(65): The valcano hasn't erupted for 8 years.;3) [[DeeLoli](http://kanji.koohii.com/profile/DeeLoli)] 26-10-2008(20): The curtains close at **eight**.;4) [[jmehr](http://kanji.koohii.com/profile/jmehr)] 1-9-2008(16): I **eight** something so large, it bent my chopsticks.;5) [[Angrybeez](http://kanji.koohii.com/profile/Angrybeez)] 21-8-2008(15): I **eight** a volcano! now I got heart burn.
九;nine;If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for _power_ (Frame 922).;* As a primitive, we shall use this kanji to mean _baseball team_ or simply _baseball_. The meaning, of course, is derived from the _nine_ players who make up a team.;1) [[joeyjpm](http://kanji.koohii.com/profile/joeyjpm)] 15-7-2008(161): _Warning - naughty reminder_ A woman in the doggie style position, waiting for my **NINE** inches.;2) [[Gunii](http://kanji.koohii.com/profile/Gunii)] 12-2-2008(157): Kinda of looks like the kanji of 1 一 with the kanji of 8 八 added. So think of it as [一＋八＝九](midori://search?text=一＋八＝九) .;3) [[sharpstick](http://kanji.koohii.com/profile/sharpstick)] 9-6-2007(50): It looks like an elaborate letter "n" for **nine**.;4) [[CaptainN](http://kanji.koohii.com/profile/CaptainN)] 17-10-2008(24): Girl waiting in doggy-style position for her boyfriend. If only she knew back then she would get pregnant and would have to carry a baby for **nine** months!;5) [[Danieru](http://kanji.koohii.com/profile/Danieru)] 28-10-2007(21): **Nine** baseball players, bowing low on the ground on hands and knees, before the game starts. おねがいします！.
十;ten;Turn this character 45 degrees either way and you have the x used for the Roman numeral **ten**.;* As a primitive, this character sometimes keeps its meaning of _ten_ and sometimes signifies _needle_ , this latter derived from the kanji for _needle_ (Frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.;1) [[Christine_Tham](http://kanji.koohii.com/profile/Christine_Tham)] 24-7-2007(68): Two needles crossing marks the spot, or you can use the Roman character for **ten** (rotated 45 degrees).;2) [[naur_caraniril](http://kanji.koohii.com/profile/naur_caraniril)] 11-10-2008(47): I scared away **ten** vampires with a single cross!;3) [[vgambit](http://kanji.koohii.com/profile/vgambit)] 23-6-2007(23): **Ten** looks like a plus sign.;4) [[fernglas](http://kanji.koohii.com/profile/fernglas)] 2-3-2009(21): A roman **ten** (X) standing on one leg.;5) [[Kaithegreat](http://kanji.koohii.com/profile/Kaithegreat)] 31-7-2009(10): T for **ten**.
口;mouth;Like several of the first characters we shall learn, the kanji for **mouth** is a clear pictograph. Since there are no circular shapes in the kanji, the square must be used to depict the circle.;* As a primitive, this form also means _mouth_. Any of the range of possible images that the word suggests - an opening or entrance to a cave, a river, a bottle, or even the largest hole in your head - can be used for the primitive meaning.;1) [[currynrice](http://kanji.koohii.com/profile/currynrice)] 30-6-2007(110): Looks like a huge open **mouth**.;2) [[taikura](http://kanji.koohii.com/profile/taikura)] 8-11-2008(21): When you sneeze, your **MOUTH** forms a square, and you make a noise that sounds like (KUCHI).;3) [[GrimPanda](http://kanji.koohii.com/profile/GrimPanda)] 27-9-2010(17): If you say "kuchi" one more time, I'm going to _box_ you in the **mouth**. ("kuchi" is how your pronounce this kanji, box is the memory symbol ).;4) [[DaveNelms](http://kanji.koohii.com/profile/DaveNelms)] 19-7-2007(10): Momma used to say: "Keep your trap shut!" This thing is shaped like a trap door.;5) [[Chugoku](http://kanji.koohii.com/profile/Chugoku)] 7-8-2011(6): Sponge Bob Square **Mouth**.
